,gdp,city,state
446,68701.5,Richmond,VA
447,124120.5,Riverside,CA
448,124120.5,San Bernardino,CA
449,124120.5,Ontario,CA
450,13958,Roanoke,VA
451,10574.5,Rochester,MN
452,52490,Rochester,NY
453,13712,Rockford,IL
454,5993,Rocky Mount,NC
455,3438,Rome,GA
456,102352.5,Sacramento,CA
457,102352.5,,CA
458,102352.5,Roseville,CA
459,102352.5,,CA
460,102352.5,Arden,CA
461,102352.5,Arcade,CA
462,7553,Saginaw,MI
463,8399,St. Cloud,MN
464,3833.5,St. George,UT
465,5460.5,St. Joseph,MO-KS
466,144260,St. Louis,MO-IL
467,12922.5,Salem,OR
468,19900.5,Salinas,CA
469,14541,Salisbury,MD-DE
470,70875,Salt Lake City,UT
471,4659,San Angelo,TX
472,97339,San Antonio,TX
473,97339,New Braunfels,TX
474,193693,San Diego,CA
475,193693,Carlsbad,CA
476,375801,San Francisco,CA
477,375801,Oakland,CA
478,375801,Hayward,CA
479,187356,San Jose,CA
480,187356,Sunnyvale,CA
481,187356,Santa Clara,CA
482,12574.5,San Luis Obispo,CA
483,12574.5,Paso Robles,CA
484,12574.5,Arroyo Grande,CA
485,11280.5,Santa Cruz,CA
486,11280.5,Watsonville,CA
487,6800,Santa Fe,NM
488,22404,Santa Maria,CA
489,22404,Santa Barbara,CA
490,22158.5,Santa Rosa,CA
491,15066.5,Savannah,GA
492,21199.5,Scranton,PA
493,21199.5,,PA
494,21199.5,Wilkes,PA
495,21199.5,Barre,PA
496,21199.5,,PA
497,21199.5,Hazleton,PA
498,273881.5,Seattle,WA
499,273881.5,Tacoma,WA
500,273881.5,Bellevue,WA
501,4424.5,Sebastian,FL
502,4424.5,Vero Beach,FL
503,1982,Sebring,FL
504,5462,Sheboygan,WI
505,3845.5,Sherman,TX
506,3845.5,Denison,TX
507,21282,Shreveport,LA
508,21282,Bossier City,LA
509,4085,Sierra Vista,AZ
510,4085,Douglas,AZ
511,8416.5,Sioux City,IA-NE-SD
512,15934,Sioux Falls,SD
513,12446.5,South Bend,IN-MI
514,12446.5,Mishawaka,IN-MI
515,12320.5,Spartanburg,SC
516,21393.5,Spokane,WA
517,21393.5,Spokane Valley,WA
518,9467,Springfield,IL
519,24347,Springfield,MA
520,16183.5,Springfield,MO
521,4022.5,Springfield,OH
522,7560,State College,PA
523,4473.5,Staunton,VA
524,4473.5,Waynesboro,VA
525,22319.5,Stockton,CA
526,22319.5,Lodi,CA
527,3504,Sumter,SC
528,30387,Syracuse,NY
529,14043,Tallahassee,FL
530,121708.5,Tampa,FL
531,121708.5,St. Petersburg,FL
532,121708.5,Clearwater,FL
533,6337.5,Terre Haute,IN
534,5004.5,Texarkana,TX-AR
535,2113.5,The Villages,FL
536,30095.5,Toledo,OH
