U.S. metropolitan areas,2012,2013,avg
"Provo-Orem, UT",16 879,17 948,"17413,5"
"Pueblo, CO",4 454,4 416,4435
"Punta Gorda, FL",3 443,3 301,3372
"Racine, WI",7 640,7 535,"7587,5"
"Raleigh, NC",62 615,64 534,"63574,5"
"Rapid City, SD",5 853,5 917,5885
"Reading, PA",16 092,16 533,"16312,5"
"Redding, CA",5 084,5 259,"5171,5"
"Reno, NV",19 481,20 804,"20142,5"
"Richmond, VA",67 572,69 831,"68701,5"
"Riverside-San Bernardino-Ontario, CA",120 470,127 771,"124120,5"
"Roanoke, VA",13 826,14 090,13958
"Rochester, MN",10 491,10 658,"10574,5"
"Rochester, NY",51 839,53 141,52490
"Rockford, IL",13 701,13 723,13712
"Rocky Mount, NC",5 953,6 033,5993
"Rome, GA",3 380,3 496,3438
"Sacramento--Roseville--Arden-Arcade, CA",100 242,104 463,"102352,5"
"Saginaw, MI",7 462,7 644,7553
"St. Cloud, MN",8 259,8 539,8399
"St. George, UT",3 712,3 955,"3833,5"
"St. Joseph, MO-KS",5 311,5 610,"5460,5"
"St. Louis, MO-IL",142 184,146 336,144260
"Salem, OR",12 713,13 132,"12922,5"
"Salinas, CA",19 241,20 560,"19900,5"
"Salisbury, MD-DE",13 952,15 130,14541
"Salt Lake City, UT",70 114,71 636,70875
"San Angelo, TX",4 490,4 828,4659
"San Antonio-New Braunfels, TX",93 330,101 348,97339
"San Diego-Carlsbad, CA",189 074,198 312,193693
"San Francisco-Oakland-Hayward, CA",366 151,385 451,375801
"San Jose-Sunnyvale-Santa Clara, CA",180 996,193 716,187356
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",12 054,13 095,"12574,5"
"Santa Cruz-Watsonville, CA",10 850,11 711,"11280,5"
"Santa Fe, NM",6 626,6 974,6800
"Santa Maria-Santa Barbara, CA",21 900,22 908,22404
"Santa Rosa, CA",21 427,22 890,"22158,5"
"Savannah, GA",14 829,15 304,"15066,5"
"Scranton--Wilkes-Barre--Hazleton, PA",20 528,21 871,"21199,5"
"Seattle-Tacoma-Bellevue, WA",267 472,280 291,"273881,5"
"Sebastian-Vero Beach, FL",4 431,4 418,"4424,5"
"Sebring, FL",1 989,1 975,1982
"Sheboygan, WI",5 411,5 513,5462
"Sherman-Denison, TX",3 714,3 977,"3845,5"
"Shreveport-Bossier City, LA",20 868,21 696,21282
"Sierra Vista-Douglas, AZ",4 202,3 968,4085
"Sioux City, IA-NE-SD",8 137,8 696,"8416,5"
"Sioux Falls, SD",15 949,15 919,15934
"South Bend-Mishawaka, IN-MI",12 485,12 408,"12446,5"
"Spartanburg, SC",12 094,12 547,"12320,5"
"Spokane-Spokane Valley, WA",21 232,21 555,"21393,5"
"Springfield, IL",9 543,9 391,9467
"Springfield, MA",24 005,24 689,24347
"Springfield, MO",15 838,16 529,"16183,5"
"Springfield, OH",3 950,4 095,"4022,5"
"State College, PA",7 283,7 837,7560
"Staunton-Waynesboro, VA",4 389,4 558,"4473,5"
"Stockton-Lodi, CA",21 947,22 692,"22319,5"
"Sumter, SC",3 486,3 522,3504
"Syracuse, NY",30 346,30 428,30387
"Tallahassee, FL",13 941,14 145,14043
"Tampa-St. Petersburg-Clearwater, FL",117 711,125 706,"121708,5"
"Terre Haute, IN",6 257,6 418,"6337,5"
"Texarkana, TX-AR",5 132,4 877,"5004,5"
"The Villages, FL",2 081,2 146,"2113,5"
"Toledo, OH",29 649,30 542,"30095,5"
"Topeka, KS",9 836,9 819,"9827,5"
"Trenton, NJ",30 029,28 719,29374
"Tucson, AZ",36 720,36 147,"36433,5"
"Tulsa, OK",57 469,62 959,60214
"Tuscaloosa, AL",10 807,11 211,11009
"Twin Falls, ID",3 498,3 650,3574
"Tyler, TX",13 664,15 001,"14332,5"
